N, Insert, Lookup, Remove
304,5.414e-06,1.16e-07,2.568e-06
305,4.66e-06,1.26e-07,2.416e-06
306,9.467e-06,1.2e-07,2.337e-06
307,8.387e-06,1.22e-07,3.339e-06
308,4.733e-06,1.34e-07,2.462e-06
309,8.853e-06,1.35e-07,3.419e-06
310,6.111e-06,1.18e-07,2.269e-06
311,5.375e-06,1.68e-07,2.926e-06
312,5.641e-06,1.21e-07,2.469e-06
313,3.741e-06,1.23e-07,1.319e-06
314,4.899e-06,1.18e-07,1.723e-06
315,8.427e-06,1.2e-07,4.462e-06
316,5.292e-06,1.21e-07,2.09e-06
317,7.586e-06,1.2e-07,2.04e-06
318,6.634e-06,1.2e-07,1.797e-06
319,4.901e-06,1.22e-07,1.931e-06
320,8.342e-06,1.23e-07,2.933e-06
321,7.186e-06,1.27e-07,2.277e-06
322,3.486e-06,1.2e-07,1.744e-06
323,6.362e-06,1.2e-07,3.381e-06
324,1.1694e-05,1.27e-07,5.195e-06
325,1.3143e-05,1.31e-07,2.62e-06
326,2.588e-06,1.23e-07,9.19e-07
327,6.947e-06,1.47e-07,1.92e-06
328,8.563e-06,1.18e-07,3.36e-06
329,8.833e-06,1.25e-07,9.8e-07
330,6.009e-06,1.28e-07,3.222e-06
331,8.916e-06,1.23e-07,2.123e-06
332,7.983e-06,1.43e-07,2.91e-06
333,9.861e-06,1.26e-07,3.282e-06
334,7.995e-06,1.17e-07,4.109e-06
335,5.71e-06,1.2e-07,2.542e-06
336,6.653e-06,1.22e-07,2.995e-06
337,3.901e-06,1.19e-07,1.667e-06
338,6.545e-06,1.18e-07,2.158e-06
339,5.066e-06,1.21e-07,2.147e-06
340,5.435e-06,1.18e-07,1.744e-06
341,1.1414e-05,1.19e-07,6.055e-06
342,5.042e-06,1.19e-07,1.616e-06
343,6.527e-06,1.21e-07,2.606e-06
344,7.345e-06,1.23e-07,2.205e-06
345,4.511e-06,1.19e-07,1.714e-06
346,9.15e-06,1.23e-07,4.109e-06
347,7.556e-06,1.19e-07,1.361e-06
348,5.298e-06,1.28e-07,2.686e-06
349,6.299e-06,1.19e-07,3.505e-06
350,7.375e-06,1.21e-07,2.913e-06
351,6.913e-06,1.2e-07,2.517e-06
352,1.0073e-05,1.2e-07,3.733e-06
353,8.988e-06,1.17e-07,1.639e-06
354,6.838e-06,1.3e-07,3.491e-06
355,8.082e-06,1.28e-07,3.465e-06
356,5.971e-06,1.25e-07,3.1e-06
357,6.383e-06,1.2e-07,1.325e-06
358,7.316e-06,1.19e-07,2.531e-06
359,4.211e-06,1.48e-07,1.916e-06
360,6.587e-06,1.24e-07,2.338e-06
361,5.712e-06,1.27e-07,9.36e-07
362,8.215e-06,1.33e-07,3.65e-06
363,4.024e-06,1.22e-07,1.67e-06
364,6.42e-06,1.22e-07,2.999e-06
365,5.716e-06,1.22e-07,1.324e-06
366,1.2029e-05,1.24e-07,5.712e-06
367,7.502e-06,1.25e-07,2.463e-06
368,6.588e-06,1.25e-07,2.164e-06
369,4.968e-06,1.21e-07,2.387e-06
370,8.037e-06,1.18e-07,3.092e-06
371,6.713e-06,1.19e-07,1.698e-06
372,7.347e-06,1.24e-07,1.626e-06
373,7.425e-06,1.26e-07,4.512e-06
374,1.262e-06,1.22e-07,9.33e-07
375,9.081e-06,1.29e-07,1.352e-06
376,1.1128e-05,1.26e-07,2.96e-06
377,3.542e-06,1.24e-07,1.764e-06
378,1.0078e-05,1.28e-07,3.182e-06
379,5.814e-06,1.28e-07,2.61e-06
380,5.373e-06,1.19e-07,2.794e-06
381,5.776e-06,1.43e-07,2.874e-06
382,7.374e-06,1.19e-07,1.408e-06
383,8.439e-06,1.24e-07,2.899e-06
384,3.049e-06,1.3e-07,1.379e-06
385,7.781e-06,1.23e-07,3.002e-06
386,1.217e-05,1.28e-07,6.229e-06
387,5.262e-06,1.22e-07,2.553e-06
388,5.361e-06,1.23e-07,2.12e-06
389,9.588e-06,1.32e-07,2.954e-06
390,5.725e-06,1.28e-07,1.655e-06
391,8.481e-06,1.31e-07,2.843e-06
392,1.2325e-05,1.25e-07,5.387e-06
393,9.762e-06,1.31e-07,1.33e-06
394,6.088e-06,1.24e-07,3.013e-06
395,7.278e-06,1.22e-07,2.566e-06
396,7.391e-06,1.25e-07,3.319e-06
397,6.731e-06,1.2e-07,2.526e-06
